用户名,房间类型,入住时间,评论内容,评论时间
M291378****,经典大床房,2025-04-01,前台接待服务很好，尤其是小黄，效率很高，房间很大很干净，戴森的吹风机，洗护用品很棒，隔壁就是南洋商场，吃喝很方便，很不错的一次体验！,2025-04-06
GDFEKLnut～@2458,宋雅大床房,2025-03-01,首先一进入酒店有一种木香环绕，早餐水果区很足份。早餐粥类只有白粥与南瓜粥偏少，可以适当的增加，西点区的糕点只有两种，早餐像包子一类的种类偏少。房型布局整体还是可以，只是迎宾水果偏少，只有两个橙子，整体来说还是很满意的离店时送了龙珠普洱茶。,2025-03-24
狼在天涯（中国）,经典大床房,2025-04-01,酒店大堂像个茶室，电梯入口是个拱形门，有个大的LED屏，氛围不错，房间是什么样的没有印象了房间面积尚可，设施配套及设计没有特别出众，吹风机用的戴森的，不错，前台服务员￼不够灵活，在处理顾客需求时比较教条。￼有待提高。周边商业比较萧条。,2025-04-18
匿名用户,豪华大床房,2025-03-01,"房间设施:入住三晚11层雅玥睡觉安静,房间洗手液洗发液都是木香味的,从大堂到房间都是木色木韵。尤其赞的是这个泡脚池,晚上房间泡泡很舒坦,加分项[强]
禧玥离地铁11号线近,吃饭也方便。酒店楼下就是南洋1931商场，商场侧门对着还有沪西老弄堂面馆。徐汇站11号线是大站,我第一次打车定位的是1号口,下去发现是老的破旧入口,要在下边走1公里多才能到安检处。再定位就有经验了,定了18号口下了扶梯就安检,这口旁边是恒隆广场。",2025-03-24
开花钱的小怪兽丶,静雅大床房,2025-04-01,酒店环境很不错，房间干净，早餐也很丰盛，装修风格很喜欢，很高级典雅的感觉。地理位置也不错，交通出行都很方便,2025-04-28
maomao30955,经典大床房,2025-04-01,是朋友推荐的酒店，从高铁站过去交通非常方便。房间整洁，环境安静，服务也很不错，周边交通餐饮都非常方便，下次还会入住。,2025-04-28
甜心Grace,高级大床房,2025-04-01,酒店服务特别好，房间干净整洁明亮，房间设施齐全新，早餐也很好，价格合理，大堂明亮舒适温馨，坐在那休息服务人员还会泡茶,2025-04-10
匿名用户,经典大床房,2025-01-01,"随便定的，以后这种设计师酒店慎选
也许之前很好，现在硬件太差啦，地板都是坑电梯里也不怎么样
服务：服务是真的好，前台很热情
卫生：没看出太大问题
环境：周边应该很方便
Minibar每天首轮: 这个很好
有一说一早餐厅真的很干净，服务也很好，种类不多但是够了",2025-01-21
M16717****,豪华大床房,2025-03-01,房间舒适度还是不错的，一如既往的好，这次还有个套餐尝试午饭，也挺不错的,2025-03-24
170397****,豪华双床房,2024-12-01,"前台服务很好，酒店应该是开了暖气，非常非常热，晚上没办法开了窗户睡的。携程订的没有在华住会定，白金卡也没能送早餐,这点是有点遗憾的。之前在他家吃过早餐还挺满意。",2024-12-22
M291378****,经典大床房,2025-04-01,前台接待服务很好，尤其是小黄，效率很高，房间很大很干净，戴森的吹风机，洗护用品很棒，隔壁就是南洋商场，吃喝很方便，很不错的一次体验！,2025-04-06
GDFEKLnut～@2458,宋雅大床房,2025-03-01,首先一进入酒店有一种木香环绕，早餐水果区很足份。早餐粥类只有白粥与南瓜粥偏少，可以适当的增加，西点区的糕点只有两种，早餐像包子一类的种类偏少。房型布局整体还是可以，只是迎宾水果偏少，只有两个橙子，整体来说还是很满意的离店时送了龙珠普洱茶。,2025-03-24
狼在天涯（中国）,经典大床房,2025-04-01,酒店大堂像个茶室，电梯入口是个拱形门，有个大的LED屏，氛围不错，房间是什么样的没有印象了房间面积尚可，设施配套及设计没有特别出众，吹风机用的戴森的，不错，前台服务员￼不够灵活，在处理顾客需求时比较教条。￼有待提高。周边商业比较萧条。,2025-04-18
匿名用户,豪华大床房,2025-03-01,"房间设施:入住三晚11层雅玥睡觉安静,房间洗手液洗发液都是木香味的,从大堂到房间都是木色木韵。尤其赞的是这个泡脚池,晚上房间泡泡很舒坦,加分项[强]
禧玥离地铁11号线近,吃饭也方便。酒店楼下就是南洋1931商场，商场侧门对着还有沪西老弄堂面馆。徐汇站11号线是大站,我第一次打车定位的是1号口,下去发现是老的破旧入口,要在下边走1公里多才能到安检处。再定位就有经验了,定了18号口下了扶梯就安检,这口旁边是恒隆广场。",2025-03-24
开花钱的小怪兽丶,静雅大床房,2025-04-01,酒店环境很不错，房间干净，早餐也很丰盛，装修风格很喜欢，很高级典雅的感觉。地理位置也不错，交通出行都很方便,2025-04-28
maomao30955,经典大床房,2025-04-01,是朋友推荐的酒店，从高铁站过去交通非常方便。房间整洁，环境安静，服务也很不错，周边交通餐饮都非常方便，下次还会入住。,2025-04-28
甜心Grace,高级大床房,2025-04-01,酒店服务特别好，房间干净整洁明亮，房间设施齐全新，早餐也很好，价格合理，大堂明亮舒适温馨，坐在那休息服务人员还会泡茶,2025-04-10
匿名用户,经典大床房,2025-01-01,"随便定的，以后这种设计师酒店慎选
也许之前很好，现在硬件太差啦，地板都是坑电梯里也不怎么样
服务：服务是真的好，前台很热情
卫生：没看出太大问题
环境：周边应该很方便
Minibar每天首轮: 这个很好
有一说一早餐厅真的很干净，服务也很好，种类不多但是够了",2025-01-21
M16717****,豪华大床房,2025-03-01,房间舒适度还是不错的，一如既往的好，这次还有个套餐尝试午饭，也挺不错的,2025-03-24
170397****,豪华双床房,2024-12-01,"前台服务很好，酒店应该是开了暖气，非常非常热，晚上没办法开了窗户睡的。携程订的没有在华住会定，白金卡也没能送早餐,这点是有点遗憾的。之前在他家吃过早餐还挺满意。",2024-12-22
匿名用户,经典大床房,2024-12-01,小熊服务很好，办理入住迅速，还延迟退房，房间设施卫生都很好，房间是中式风格，吹风机是戴森的，家具也是爱马仕旗下的上下品牌很有品味，地理位置很好，附近500米3个地铁站。推荐入住,2024-12-03
卷卷的下午茶,静雅大床房,2024-12-01,前台小熊服务很好，办理入住快捷，房间做了一个免费升级，房间很大干净整洁，房间装饰和用品都是属于爱马仕旗下的上下品牌很有品味，吹风机也是戴森的，已经入住过几次了都很不错，整个酒店都是中式风格，地理位置也很好位于市中心，旁边就是商场购物吃饭很方便，交通便利，附近500米以内有3个地铁站，推荐入住。,2024-12-08
Sydney-Du,宋雅大床房,2024-11-01,"位置不错，徐家汇周边配套足。
房间有泡脚池这个太赞了。。。
机器人送货也加分。
美中不足的一点，我一个人两天不同渠道下的单房型不一样，酒店没有提前考虑导致要换房很不方便。",2024-11-24
_CFT010000002087****,经典大床房,2025-04-01,Cathy 服务很好👍🏻,2025-04-05
M225528****,经典大床房,2025-04-01,小七服务很好,2025-04-19
M573293****,经典大床房,2024-11-01,房间够大，格调典雅别致，位置也很好，交通非常方便，离宜山路和徐家汇地铁站都很近，前台服务特别好，很热心！早餐也好吃，有粥有面，水果也很新鲜！体验非常好，物超所值！,2024-11-30
J_D,豪华双床房,2025-04-01,酒店的位置不错，环境清幽，交通便利，周围商圈也很成熟。前台工作人员很认真负责，当天入住时房间有些小问题，前台立刻进行了处理，效率很高。保洁阿姨也是热情周到，打扫挺细致的，而且笑脸相迎，感觉特别好。送餐会有机器人上门，非常方便。整体感觉非常不错，下次还是会选择这家酒店。推荐给有需要的朋友们参考！,2025-04-29
夜日天,经典大床房,2024-12-01,我最近入住了上海徐汇禧玥酒店，整个体验非常棒！特别想表扬前台的小王，她的服务态度非常热情、专业且贴心。从入住到退房，她都耐心解答了我们所有的问题，并且主动帮助我们解决了行程中的一些小麻烦。小王的微笑和周到的服务让我们感受到了家的温暖，实在是难能可贵。以后来上海一定还会选择这里，强烈推荐！,2024-12-20
M486409****,经典大床房,2025-03-01,小阳服务很好 很赞,2025-04-08
云雾清透,豪华双床房,2024-11-01,前台小黄很贴心，物品遗留在房间，及时帮我寄回，大厅很漂亮，房间很大，梳妆镜很方便，隔壁就是南洋商场，吃喝很好，离地铁站也很近，工作人员都很棒,2024-11-17
wyd871101,豪华双床房,2025-04-01,地理位置不错，房间也挺大，工作人员还帮我延迟退房，非常客气。但是办理入住时三个人就给我两人份洗漱用品，也没有准备第三人的拖鞋，都需要我提醒。也没有指引一下电梯位置，如果可以更加细心就好了,2025-04-25
M248647****,高级大床房,2025-04-01,酒店中式风格 很有格调 办入住很快 小七服务很好,2025-04-09
M46173****,豪华大床房,2024-09-01,前台服务还是可以的，二楼的歺厅 ****用无语都无法表达出来，晚歺点了份牛排 上来用刀钗都无法切开，然后重做了以后 还是一样 厨师过来说 这已经是七八分熟 ，搞得我好像都没见过吃过牛排一样  入住这家酒店绝对不能点牛排。*********,2024-09-27
M473204****,经典大床房,2024-12-01,前台小熊服务很好，给免费升级了房型，还延迟了退房，早餐也非常棒，房间干净整洁，地理位置很好推荐入住。,2024-12-03
匿名用户,静雅大床房,2024-12-01,酒店服务很好 环境不错 卫生做的很到位 设施很齐全 工作人员态度都很好 前台小王服务热情,2024-12-10
_WeChat37204****,豪华大床房,2024-11-01,我对这家酒店的整体体验非常满意。前台小黄服务很热情，从入住到退房，整个过程都非常简单顺利。房间设施齐全，床铺舒适，浴室干净整洁。此外，酒店的位置也非常方便，旁边就是商场。下次还会过来。,2024-11-20
Rocktheworld,经典大床房,2025-03-01,设这家酒店设计基调是新中式古韵风格，融入苏式园林元素，很特别雅致。房间内床品舒适，配备了智能马桶、戴森吹风机、超大化妆镜、体重秤等，还有胶囊咖啡机，minibar的饮品是免费的。自助早餐丰盛，有上海地道小吃，口味不错。总体来说是非常满意的一次旅行体验。,2025-03-14
匿名用户,经典大床房,2024-10-01,"房间很大，住得比较舒服
冰箱里的饮料是免费的
因为备注了纪念日，酒店做了特别布置，非常感谢
早餐感觉没有古北店好
享受停车优惠就不能开票，这点很奇怪",2024-10-09
龙女白兔,经典大床房,2024-10-01,在徐家汇地区，很方便。地铁站是体育馆路或者徐家汇站。酒店服务态度也非常好，房间装修特别，中国庭院式的，房间大小适中，是一次很好的体验。,2024-10-26
匿名用户,经典大床房,2025-02-01,酒店服务及人员管理极差，帮友人订酒店因为飞机延误到店时间比较晚，酒店自称负责人的员工竟然半夜12点打手机电话骚扰，睡梦中被惊醒完全不尊重正常联络时间。后续通过携程表示需要酒店相关人员道歉，酒店管理人员极其傲慢，表示无法给出道歉，也不愿做任何赔偿，需要客人联系他们才能沟通。建议所有客人避雷！价格千元以上的酒店还这样傲慢无礼的态度，这个酒店管理人员是有什么背景还是个别管理人员无视消费者！,2025-03-06
M32058****,宋雅大床房,2024-11-01,第二次入住禧玥酒店，8月底是住了古北的。这次因为路程选择了徐家汇禧玥。下次还会入住,2024-11-29
M35690****,经典大床房,2024-08-01,七百多不算便宜的酒店，但是整个感觉卫生很不到位。进去还没五分钟，被一只虫子咬了。在上海那么多年了第一次在酒店见到这样的虫子，而且住在12楼，我不知道虫子是怎么进到房间的，应该飞不到这个高度，可能就是潜伏在酒店中吧。忙着处理伤口，来不及给虫子拍照。当时感觉被咬的地方红肿热疼，肿起来鸡蛋大小的包块，还有其他地方也起了小红包。说真的，我不知道那个是不是臭虫…然后告知酒店，酒店说升级换房，换完以后进去新的房间，纱窗是坏的，墙壁上插座是坏的。咖啡机和烧水壶只能二选一，无法同时使用。这就是对外号称8百多一晚的房间…感觉可能住个如家也不会被虫子咬吧。当天晚上电话医院，告知因为是周末，急诊没有皮肤科，所以只好等到周一去治疗。因为肿块在大腿上，就不放出来了，看一下中山医院的诊断结果吧。无语中的战斗机…,2024-08-21
M524718****,经典大床房,2025-04-01,第一次入住，服务非常满意，人员都很专业，很为客户着想。Cathy小姐姐大晚上还在教我如何装app，但由于护照尝试了好多次，特别耐心。酒店有单独的接收包裹，非常好。,2025-04-21
1563178****,豪华大床房,2024-10-01,酒店临近地铁站商场，出行吃饭都比较便捷，开业时间比较短，装修还比较新，整体不错，酒店的早餐一般，没有什么东西，没必要花钱定早餐,2024-10-12
一枚可爱的人啊,高级大床房,2025-02-01,房间宽敞细节整洁干净，洗手间里镜灯很符合女士的需要，并且配有戴森吹风机。机器人的房间服务很贴心。外卖可以通过机器人直接送到房间门口。前台小哥小姐姐们也很亲切热情。停车场也很大。地理位置闹中取静，旁边的商场里超市、咖啡店、餐厅配套齐全。客人入住后体验感非常舒适和便捷。,2025-02-17
E3965****,豪华双床房,2025-01-01,"房间宽敞，入住很舒适！
前台接待很热情周到
机器人🤖送餐很及时
特别感谢小黄经理的暖心服务哦",2025-01-16
205707****,豪华双床房,2025-02-01,房间简陋，根本达不到五星，中午到了说没有房间，等了一下午，最关键的是，房间巨臭，臭嘎着窝的味道，呛**了，一晚上都不敢大口呼吸，带着口罩睡的……床硬，空调咯吱咯吱响了一宿，玻璃还有破损，感觉是上一住户也被气的够呛……总而言之体验很差，劝大家三思而后行,2025-02-03
320588****,豪华双床房,2024-11-01,房间安排满意，Shirley热情周到，房间设施齐全，入住体验舒适，值得再来。,2024-11-10
M319447****,经典大床房,2025-04-01,前台办理入住高效专业，还贴心升级了房型，细节服务满分，酒店设施很好，地理位置优越，值得再次入住。体验很不错，需要冰敷，前台也能很快的提供所需。,2025-04-19
匿名用户,经典大床房,2024-12-01,前台小七服务很好 免费升级了房型  办入住很快,2024-12-18
匿名用户,豪华双床房,2024-09-01,前台服务和房间设施都还不错，就是打扫卫生需要更及时一些，中式氛围挺好的，许多用品都出自上下，床品不错,2024-10-01
1590050****,高级大床房,2024-09-01,酒店设施齐全，服务人员Shirley热情，价格合理，是出行住宿的绝佳选择。特别值得一提的是 每次都能满足客人的需求，太赞了。,2024-09-09
201895****,豪华大床房,2025-04-01,酒店服务特别好 尤其是小七 机器人可以送外卖 特别方便👍,2025-04-10
瑞娜NA,宋雅大床房,2024-12-01,"1.服务态度：酒店员工具有友好的态度，对客人表示尊重和关心。他们在与客人交流时应保持微笑，并尽量满足客人的需求。

2. 餐饮服务：酒店拥有特色小吃，提供令人难以抗拒的美食，以及餐厅的氛围很好，服务员的态度很热情",2025-01-15
_WeChat40398****,高级大床房,2024-12-01,小王给了房间优惠价很方便,2024-12-14
_WeChat31391****,经典大床房,2024-12-01,酒店装饰很有韵味，地理位置优越，环境很好，工作人员很热心，具有耐心，尤其是前台小王，服务态度超好，离上海体育馆很近，走路过去不到10分钟，周围环境很好，晚上出来很有氛围感，旁边就是南洋1931商场，吃喝都很方便。到上海看演唱会、体育比赛这里是很不错的选择，下次来还会选择,2025-01-03
218210****,经典大床房,2025-04-01,房间电动窗帘坏的，一开灯或者一开门一直响个不停，地上地板好多快是破的。电动马桶时灵时不灵，前台态度和服务也挺一般，餐厅的服务还挺好。,2025-04-15
jimswang1972,豪华双床房,2024-12-01,"酒店位置很好，楼下就是一个中型mall南洋1931，很多有特色的餐馆，一公里左右就到繁华徐家汇，闹中取静。
酒店整体装修内饰中式风格，品味清新。设施保养一般，地板已有泡水痕迹，楼道地毯也显陈旧，似乎是禧玥的通病，上次在陆家嘴的也一样，有些遗憾。
服务热情友好，前台小王帮助解决停车问题，值得称赞。
早餐品种在国内连锁酒店中已算丰富，说得过去。",2024-12-29
_gf406365137156****,经典大床房,2024-08-01,酒店很舒适，设备硬件齐全，前台的小姐姐和小哥哥都很热情、耐心。非常感谢他们！这回入住我感觉非常开心！感谢！,2024-08-31
SilZhao,静雅大床房,2024-06-01,房间很大 宽敞整洁 设施也很新 高层城景房窗外景色真的不错 酒店服务也很棒 刚到发现洗手池下水有点问题 反映了之后很快就修好了 电梯遇到工作人员也会主动危微笑打招呼 入住退房都很快很顺利 离店还有伴手礼 以及地理位置好 离宜山路和上海体育场地铁站都只要步行10min 酒店旁边还有个不小的mall 吃喝都可以解决 总之很棒的体验 下次有机会会再来,2024-06-16
